drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,weeks_to_suppression,type
1.0,14.0,0.0,7.0,linear,32.150,RIDL
1.0,14.0,0.0,8.0,linear,33.500,RIDL
1.0,14.0,0.0,9.0,linear,36.850,RIDL
1.0,15.0,0.0,10.0,linear,38.500,RIDL
1.0,15.0,0.0,11.0,linear,42.100,RIDL
1.0,15.0,0.0,12.0,linear,47.650,RIDL
1.0,15.0,0.0,13.0,linear,53.400,RIDL
1.0,15.0,0.0,14.0,linear,63.050,RIDL
1.0,15.0,0.0,15.0,linear,83.100,RIDL
1.0,15.0,0.0,16.0,linear,232.500,RIDL
1.0,15.0,0.0,2.0,linear,22.450,RIDL
1.0,15.0,0.0,3.0,linear,23.900,RIDL
1.0,15.0,0.0,4.0,linear,26.000,RIDL
1.0,15.0,0.0,5.0,linear,27.550,RIDL
1.0,15.0,0.0,6.0,linear,29.450,RIDL
1.0,15.0,0.0,7.0,linear,31.800,RIDL
1.0,15.0,0.0,8.0,linear,33.200,RIDL
1.0,15.0,0.0,9.0,linear,35.950,RIDL
1.0,16.0,0.0,10.0,linear,37.200,RIDL
1.0,16.0,0.0,11.0,linear,41.400,RIDL
1.0,16.0,0.0,12.0,linear,44.200,RIDL
1.0,16.0,0.0,13.0,linear,50.200,RIDL
1.0,16.0,0.0,14.0,linear,56.800,RIDL
1.0,16.0,0.0,15.0,linear,69.200,RIDL
1.0,16.0,0.0,16.0,linear,100.250,RIDL
1.0,16.0,0.0,2.0,linear,22.600,RIDL
1.0,16.0,0.0,3.0,linear,24.000,RIDL
1.0,16.0,0.0,4.0,linear,25.700,RIDL
1.0,16.0,0.0,5.0,linear,26.750,RIDL
1.0,16.0,0.0,6.0,linear,29.350,RIDL
1.0,16.0,0.0,7.0,linear,30.650,RIDL
1.0,16.0,0.0,8.0,linear,32.050,RIDL
1.0,16.0,0.0,9.0,linear,34.400,RIDL
1.0,17.0,0.0,10.0,linear,36.050,RIDL
1.0,17.0,0.0,11.0,linear,39.350,RIDL
1.0,17.0,0.0,12.0,linear,43.200,RIDL
1.0,17.0,0.0,13.0,linear,46.100,RIDL
1.0,17.0,0.0,14.0,linear,52.150,RIDL
1.0,17.0,0.0,15.0,linear,61.050,RIDL
1.0,17.0,0.0,16.0,linear,75.700,RIDL
1.0,17.0,0.0,2.0,linear,22.550,RIDL
1.0,17.0,0.0,3.0,linear,23.300,RIDL
1.0,17.0,0.0,4.0,linear,25.200,RIDL
1.0,17.0,0.0,5.0,linear,26.450,RIDL
1.0,17.0,0.0,6.0,linear,28.500,RIDL
1.0,17.0,0.0,7.0,linear,29.550,RIDL
1.0,17.0,0.0,8.0,linear,32.450,RIDL
1.0,17.0,0.0,9.0,linear,33.450,RIDL
1.0,18.0,0.0,10.0,linear,35.600,RIDL
1.0,18.0,0.0,11.0,linear,38.000,RIDL
1.0,18.0,0.0,12.0,linear,41.550,RIDL
1.0,18.0,0.0,13.0,linear,43.950,RIDL
1.0,18.0,0.0,14.0,linear,49.650,RIDL
1.0,18.0,0.0,15.0,linear,55.600,RIDL
1.0,18.0,0.0,16.0,linear,66.400,RIDL
1.0,18.0,0.0,2.0,linear,21.650,RIDL
1.0,18.0,0.0,3.0,linear,23.800,RIDL
1.0,18.0,0.0,4.0,linear,25.300,RIDL
1.0,18.0,0.0,5.0,linear,26.350,RIDL
1.0,18.0,0.0,6.0,linear,27.550,RIDL
1.0,18.0,0.0,7.0,linear,30.050,RIDL
1.0,18.0,0.0,8.0,linear,30.750,RIDL
1.0,18.0,0.0,9.0,linear,32.600,RIDL
1.0,19.0,0.0,10.0,linear,35.150,RIDL
1.0,19.0,0.0,11.0,linear,37.550,RIDL
1.0,19.0,0.0,12.0,linear,39.650,RIDL
1.0,19.0,0.0,13.0,linear,42.550,RIDL
1.0,19.0,0.0,14.0,linear,47.000,RIDL
1.0,19.0,0.0,15.0,linear,51.550,RIDL
1.0,19.0,0.0,16.0,linear,58.250,RIDL
1.0,19.0,0.0,2.0,linear,21.750,RIDL
